createdAt,Luftfeuchte SHT31,Temperatur SHT31,Bodentemperatur Port 2 20 cm West,Luftfeuchte BME680,Bodenfeuchte Port 2 20 cm West,Bodenfeuchte Port 1 10 cm West,atm. Luftdruck BME680,Bodentemperatur Port 1 10 cm West,Lufttemperatur BME680,Bodentemperatur Port 3 10 cm Ost,Bodenfeuchte Port 3 10 cm Ost,Bodenfeuchte Port 5 20 cm Ost,Heatflux (Osten) 10 cm,Bodentemperatur Port 5 20 cm Ost
2025-03-07 10:16:33.500000+00:00,34.905,22.4739,,27.9473,,,959.67,,24.8956,,,,,
2025-03-07 10:17:35.822000+00:00,34.7967,22.4445,,27.8422,,,959.67,,24.8276,,,,,
2025-03-07 10:18:47.413000+00:00,34.992,22.4178,,28.079,,,959.69,,26.2907,,,,,
2025-03-07 10:19:49.770000+00:00,35.2255,22.4739,,58.8659,,,959.72,,25.6908,,,,,
2025-03-07 10:21:00.211000+00:00,56.6522,20.6313,,30.8215,,,959.7,,25.1217,,,,,
2025-03-07 10:22:01.929000+00:00,35.7382,22.7142,,28.9281,,,959.68,,24.9721,,,,,
2025-03-07 10:23:04.510000+00:00,34.815,22.7703,,27.73,,,959.68,,25.2489,,,,,
2025-03-07 10:24:06.844000+00:00,34.8135,22.7569,,27.1819,,,959.67,,25.6114,,,,,
2025-03-07 10:25:09.216000+00:00,34.8638,22.7142,,26.7606,,,959.68,,25.8945,,,,,
2025-03-07 10:26:14.330000+00:00,34.7829,22.8397,,26.7333,,,959.67,,26.0706,,,,,
2025-03-07 10:27:17.646000+00:00,34.8226,22.7008,,26.502,,,959.67,,26.1846,,,,,
2025-03-07 10:28:19.985000+00:00,34.6548,22.7703,,26.4097,,,959.66,,26.239,,,,,
2025-03-07 10:29:22.337000+00:00,34.6593,22.813,,26.4306,,,959.65,,26.2321,,,,,
2025-03-07 10:31:26.920000+00:00,34.818,22.797,,26.5622,,,959.6,,26.1864,,,,,
2025-03-07 10:32:29.447000+00:00,34.9249,22.797,,26.379,,,959.59,,26.2497,,,,,
2025-03-07 10:34:36.849000+00:00,34.9249,22.813,,26.4195,,,959.57,,26.3653,,,,,
2025-03-07 10:35:40.310000+00:00,35.2483,22.8397,,26.4207,,,959.57,,26.3811,,,,,
2025-03-07 10:36:42.692000+00:00,34.8501,22.5727,,26.6358,,,959.58,,26.3329,,,,,
2025-03-07 10:37:44.997000+00:00,35.1614,22.7703,,26.8245,,,959.58,,26.1915,,,,,
2025-03-07 10:38:47.366000+00:00,34.8043,22.6581,,27.5973,,,959.58,,26.0589,,,,,
2025-03-07 10:39:50.092000+00:00,35.0973,22.5326,,27.0703,,,959.56,,25.9632,,,,,
2025-03-07 10:40:52.481000+00:00,35.1476,22.5166,,26.9813,,,959.55,,25.8851,,,,,
2025-03-07 10:41:54.814000+00:00,34.9386,22.6848,,27.0552,,,959.52,,25.8299,,,,,
2025-03-07 10:42:57.199000+00:00,35.0652,22.7569,,27.1588,,,959.51,,25.789,,,,,
2025-03-07 10:44:07.885000+00:00,35.0561,22.6581,,27.2279,,,959.52,,25.7959,,,,,
2025-03-14 08:25:37.082000+00:00,0.0,0.0,,35.2107,,,943.62,,22.3454,,,,,
2025-03-14 08:26:49.526000+00:00,0.0,0.0,,33.5121,,,943.6,,22.1214,,,,,
2025-03-14 08:27:38.204000+00:00,0.0,0.0,,34.8754,,,943.61,,22.0156,,,,,
2025-03-14 08:28:39.139000+00:00,0.0,0.0,,34.5194,,,943.61,,22.0301,,,,,
2025-03-14 08:29:39.899000+00:00,0.0,0.0,,34.3439,,,943.6,,22.042,,,,,
2025-03-14 08:30:40.644000+00:00,0.0,0.0,,33.9446,,,943.59,,21.9979,,,,,
2025-03-14 08:31:41.465000+00:00,0.0,0.0,,35.0034,,,943.61,,21.9625,,,,,
2025-03-14 08:32:42.462000+00:00,0.0,0.0,,34.6004,,,943.62,,21.9543,,,,,
2025-03-14 08:33:43.426000+00:00,0.0,0.0,,34.8433,,,943.63,,21.961,,,,,
2025-03-14 08:34:44.259000+00:00,0.0,0.0,,34.5122,,,943.63,,21.9806,,,,,
2025-03-14 08:35:45.018000+00:00,0.0,0.0,,34.7121,,,943.63,,22.015,,,,,
2025-03-14 08:36:46.682000+00:00,0.0,0.0,,34.9578,,,943.64,,22.0713,,,,,
2025-03-14 08:37:47.692000+00:00,0.0,0.0,,34.4822,,,943.63,,22.0987,,,,,
2025-03-14 08:38:48.462000+00:00,0.0,0.0,,34.6998,,,943.62,,22.1059,,,,,
2025-03-14 08:39:50.746000+00:00,0.0,0.0,,34.7843,,,943.63,,22.1313,,,,,
2025-03-14 08:40:49.555000+00:00,0.0,0.0,,34.924,,,943.63,,22.2022,,,,,
2025-03-14 08:41:50.354000+00:00,0.0,0.0,,34.8987,,,943.66,,22.2393,,,,,
2025-03-14 08:42:51.152000+00:00,0.0,0.0,,35.0103,,,943.69,,22.2958,,,,,
2025-03-14 08:43:51.982000+00:00,0.0,0.0,,34.9949,,,943.73,,22.3458,,,,,
2025-03-14 08:44:52.747000+00:00,0.0,0.0,,35.0842,,,943.69,,22.3845,,,,,
2025-03-14 08:45:53.611000+00:00,0.0,0.0,,34.9355,,,943.72,,22.4289,,,,,
2025-03-14 08:46:54.437000+00:00,0.0,0.0,,35.1913,,,943.72,,22.4549,,,,,
2025-03-14 08:47:55.341000+00:00,0.0,0.0,,35.4195,,,943.73,,22.4905,,,,,
2025-03-14 08:48:59.647000+00:00,0.0,0.0,,35.7389,,,943.72,,22.5521,,,,,
2025-03-14 08:49:56.407000+00:00,0.0,0.0,,35.6234,,,943.69,,22.5893,,,,,
2025-03-14 08:50:57.164000+00:00,0.0,0.0,,35.955,,,943.69,,22.6674,,,,,
2025-03-14 08:51:58.044000+00:00,0.0,0.0,,35.487,,,943.7,,22.7161,,,,,
2025-03-14 08:52:58.834000+00:00,0.0,0.0,,35.6535,,,943.72,,22.8129,,,,,
2025-03-14 08:53:59.604000+00:00,0.0,0.0,,35.1538,,,943.72,,22.8497,,,,,
2025-03-14 08:55:00.334000+00:00,0.0,0.0,,35.493,,,943.73,,22.8639,,,,,
2025-03-14 08:56:01.202000+00:00,0.0,0.0,,35.7729,,,943.75,,22.8618,,,,,
2025-03-14 08:57:02.087000+00:00,0.0,0.0,,37.3619,,,943.74,,22.9352,,,,,
2025-03-14 08:58:24.920000+00:00,0.0,0.0,,35.9207,,,943.71,,23.0317,,,,,
2025-03-14 08:59:26.012000+00:00,0.0,0.0,,35.6265,,,943.71,,22.8326,,,,,
2025-03-14 09:00:27.594000+00:00,0.0,0.0,,36.1506,,,943.71,,22.5807,,,,,
2025-03-14 09:01:28.402000+00:00,0.0,0.0,,36.5927,,,943.71,,22.3669,,,,,
2025-03-14 09:02:28.390000+00:00,0.0,0.0,,36.8867,,,943.74,,22.2955,,,,,
2025-03-14 09:03:30.068000+00:00,0.0,0.0,,37.1329,,,943.75,,22.2234,,,,,
2025-03-14 09:04:31.772000+00:00,0.0,0.0,,37.2303,,,943.75,,22.1812,,,,,
2025-03-14 09:05:33.225000+00:00,0.0,0.0,,37.2298,,,943.79,,22.1721,,,,,
2025-03-14 09:07:36.431000+00:00,0.0,0.0,,37.3895,,,943.81,,22.191,,,,,
2025-03-14 09:08:37.883000+00:00,0.0,0.0,,37.41,,,943.8,,22.206,,,,,
2025-03-14 09:09:39.151000+00:00,0.0,0.0,,37.4777,,,943.84,,22.2283,,,,,
2025-03-14 09:10:40.456000+00:00,0.0,0.0,,37.4693,,,943.8,,22.2566,,,,,
2025-03-14 09:12:42.050000+00:00,0.0,0.0,,37.5745,,,943.79,,22.3072,,,,,
2025-03-14 09:13:43.347000+00:00,0.0,0.0,,37.7836,,,943.79,,22.3497,,,,,
2025-03-14 09:14:44.610000+00:00,0.0,0.0,,37.6188,,,943.78,,22.3618,,,,,
2025-03-14 09:15:45.960000+00:00,0.0,0.0,,37.5438,,,943.74,,22.3796,,,,,
2025-03-14 09:16:47.243000+00:00,0.0,0.0,,37.6587,,,943.75,,22.4071,,,,,
2025-03-14 09:17:48.632000+00:00,0.0,0.0,,37.7863,,,943.75,,22.4383,,,,,
2025-03-14 09:40:59.801000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:43:12.534000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:44:13.120000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:45:13.640000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:46:44.802000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:47:44.866000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:48:45.134000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:49:45.413000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:50:45.532000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:51:45.629000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:52:45.813000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:58:55.674000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
2025-03-14 09:59:55.736000+00:00,0.0,0.0,,0.0,,,0.0,,0.0,,,,,
