Luftfeuchte SHT31,Lufttemperatur BME680,atm. Luftdruck BME680,Luftfeuchte BME680,Temperatur SHT31,Bodenfeuchte Port 1 10 cm West,Bodentemperatur Port 1 10 cm West,Bodenfeuchte Port 2 20 cm West,Bodentemperatur Port 2 20 cm West,Bodenfeuchte Port 3 10 cm Ost,Bodentemperatur Port 3 10 cm Ost,Bodenfeuchte Port 5 20 cm Ost,Bodentemperatur Port 5 20 cm Ost,Heatflux (Osten) 10 cm
34.905,24.8956,959.67,27.9473,22.4739,,,,,,,,,
34.7967,24.8276,959.67,27.8422,22.4445,,,,,,,,,
34.992,26.2907,959.69,28.079,22.4178,,,,,,,,,
35.2255,25.6908,959.72,58.8659,22.4739,,,,,,,,,
56.6522,25.1217,959.7,30.8215,20.6313,,,,,,,,,
35.7382,24.9721,959.68,28.9281,22.7142,,,,,,,,,
34.815,25.2489,959.68,27.73,22.7703,,,,,,,,,
34.8135,25.6114,959.67,27.1819,22.7569,,,,,,,,,
34.8638,25.8945,959.68,26.7606,22.7142,,,,,,,,,
34.7829,26.0706,959.67,26.7333,22.8397,,,,,,,,,
34.8226,26.1846,959.67,26.502,22.7008,,,,,,,,,
34.6548,26.239,959.66,26.4097,22.7703,,,,,,,,,
34.6593,26.2321,959.65,26.4306,22.813,,,,,,,,,
34.818,26.1864,959.6,26.5622,22.797,,,,,,,,,
34.9249,26.2497,959.59,26.379,22.797,,,,,,,,,
34.9249,26.3653,959.57,26.4195,22.813,,,,,,,,,
35.2483,26.3811,959.57,26.4207,22.8397,,,,,,,,,
34.8501,26.3329,959.58,26.6358,22.5727,,,,,,,,,
35.1614,26.1915,959.58,26.8245,22.7703,,,,,,,,,
34.8043,26.0589,959.58,27.5973,22.6581,,,,,,,,,
35.0973,25.9632,959.56,27.0703,22.5326,,,,,,,,,
35.1476,25.8851,959.55,26.9813,22.5166,,,,,,,,,
34.9386,25.8299,959.52,27.0552,22.6848,,,,,,,,,
35.0652,25.789,959.51,27.1588,22.7569,,,,,,,,,
35.0561,25.7959,959.52,27.2279,22.6581,,,,,,,,,
0.0,22.3454,943.62,35.2107,0.0,,,,,,,,,
0.0,22.1214,943.6,33.5121,0.0,,,,,,,,,
0.0,22.0156,943.61,34.8754,0.0,,,,,,,,,
0.0,22.0301,943.61,34.5194,0.0,,,,,,,,,
0.0,22.042,943.6,34.3439,0.0,,,,,,,,,
0.0,21.9979,943.59,33.9446,0.0,,,,,,,,,
0.0,21.9625,943.61,35.0034,0.0,,,,,,,,,
0.0,21.9543,943.62,34.6004,0.0,,,,,,,,,
0.0,21.961,943.63,34.8433,0.0,,,,,,,,,
0.0,21.9806,943.63,34.5122,0.0,,,,,,,,,
0.0,22.015,943.63,34.7121,0.0,,,,,,,,,
0.0,22.0713,943.64,34.9578,0.0,,,,,,,,,
0.0,22.0987,943.63,34.4822,0.0,,,,,,,,,
0.0,22.1059,943.62,34.6998,0.0,,,,,,,,,
0.0,22.1313,943.63,34.7843,0.0,,,,,,,,,
0.0,22.2022,943.63,34.924,0.0,,,,,,,,,
0.0,22.2393,943.66,34.8987,0.0,,,,,,,,,
0.0,22.2958,943.69,35.0103,0.0,,,,,,,,,
0.0,22.3458,943.73,34.9949,0.0,,,,,,,,,
0.0,22.3845,943.69,35.0842,0.0,,,,,,,,,
0.0,22.4289,943.72,34.9355,0.0,,,,,,,,,
0.0,22.4549,943.72,35.1913,0.0,,,,,,,,,
0.0,22.4905,943.73,35.4195,0.0,,,,,,,,,
0.0,22.5521,943.72,35.7389,0.0,,,,,,,,,
0.0,22.5893,943.69,35.6234,0.0,,,,,,,,,
0.0,22.6674,943.69,35.955,0.0,,,,,,,,,
0.0,22.7161,943.7,35.487,0.0,,,,,,,,,
0.0,22.8129,943.72,35.6535,0.0,,,,,,,,,
0.0,22.8497,943.72,35.1538,0.0,,,,,,,,,
0.0,22.8639,943.73,35.493,0.0,,,,,,,,,
0.0,22.8618,943.75,35.7729,0.0,,,,,,,,,
0.0,22.9352,943.74,37.3619,0.0,,,,,,,,,
